"count";"name";"model";"sku";"price";"discriptions";"foto";"cat1";"cat2";"cat3"
998;"Керамическая кастрюля 3.2 л Sacher SHKP 00076";"00076 SHKP";"00076 SHKP- yavshoke";335;"<ul>
<li>Форма  -  круглая</li> <li>Крышка  -  термостойкая керамика</li> <li>Материал -   термостойкая керамика</li> <li>Объем, л    3,2</li> <li>Назначение  -  духовые шкафы, СВЧ, все виды плит</li> <li>Цвет  -  коричневый</li> <li>Уточняйте цвет или оттенок изделия</li> </ul>";"data/yavshoke/112647319_w640_h640_00078_8713538.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Горшок для запекания WILMAX 350 мл. WL-997000";"WL-997000";"WL-997000- yavshoke";123;"
<p>Горшочек для запекания<br> Материал: фарфор.<br> Объем: 350 мл.</p> <p>подходит для всех видов плит.<br> можно использовать в СВЧ-печах.<br> подходит для посудомоечной машины.</p>
";"data/yavshoke/133371791_w640_h640_cid435614_pid64645066-fe70eefe.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Горшок для запекания WILMAX 450 мл. WL-997001";"WL-997001";"WL-997001- yavshoke";141;"
<p>Горшочек для запекания<br> Материал: фарфор.<br> Объем: 450 мл.</p> <p>подходит для всех видов плит.<br> можно использовать в СВЧ-печах.<br> подходит для посудомоечной машины.</p>
";"data/yavshoke/133371792_w640_h640_cid435614_pid64645067-87035011.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Жаропрочная керамическая кастрюля 4,2л коричневая Sacher 00078SHKP";"00078SHKP";"00078SHKP- yavshoke";486;"<ul>
<li>Тип: кастрюля</li> <li>Объем: 4.2 л</li> <li>Материал: керамика</li> <li>Материал крышки: керамика</li> <li>
Ручки: керамические</li> <li>Торговая марка: Sacher</li> <li>Крышка в комплекте</li> <li>Цвет: коричневый</li> <li>Для использование в духовке</li> <li>Возможно мытье в посудомойке</li> <li>Керамические кастрюли Sacher изготовлены из экологически чистой глины, что обеспечивает ее долговечность и абсолютную безопасность для здоровья. Продукты, приготовленные в такой посуде максимально сохраняют свой изначальный вид и пользу. Также эта кастрюля долго сохраняет тепло и хорошо выдерживает перепады температуры</li> </ul>";"data/yavshoke/272466001_w640_h640_00078.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Жаропрочная керамическая кастрюля 1,6л молочная Sacher 00087SHKP";"00087SHKP";"00087SHKP- yavshoke";232;"<ul>
<li>Тип: кастрюля</li> <li>Объем: 1.6 л</li> <li>Материал: керамика</li> <li>Материал крышки: керамика</li> <li>
Ручки: керамические</li> <li>Торговая марка: Sacher</li> <li>Крышка в комплекте</li> <li>Цвет: молочный</li> <li>Для использование в духовке</li> <li>Возможно мытье в посудомойке</li> <li>Керамические кастрюли Sacher изготовлены из экологически чистой глины, что обеспечивает ее долговечность и абсолютную безопасность для здоровья. Продукты, приготовленные в такой посуде максимально сохраняют свой изначальный вид и пользу. Также эта кастрюля долго сохраняет тепло и хорошо выдерживает перепады температуры</li> </ul>";"data/yavshoke/272473880_w640_h640_00087shkp.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля с крышкой круглая 3.0 л VaBene VB 3020008";"VB 3020008";"VB 3020008- yavshoke";252;"<ul>
<li> <p>Материал: жаропрочное стекло</p> </li> <li> <p>Размер:  29 х 26,6 х 8,2 см</p> </li> <li> <p>Объем 3 л</p> </li> </ul>";"data/yavshoke/110152484_w640_h640_cid435614_pid29677689-d3e62823.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля с крышкой круглая 2,5 л VaBene VB 3020007";"VB 3020007";"VB 3020007- yavshoke";189;"<ul>
<li> <p>Материал: жаропрочное стекло</p> </li> <li> <p>Размер: 28,1 х 25 х 8 см</p> </li> <li> <p>Объем 2,5 л</p> </li> </ul>";"data/yavshoke/110152388_w640_h640_cid435614_pid29677630-b3a1495a.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля с крышкой круглая 2.0 л VaBene VB 3020006";"VB 3020006";"VB 3020006- yavshoke";168;"<ul>
<li> <p>Материал: жаропрочное стекло</p> </li> <li> <p>Размер: 25,8 х 22,7 х 7,2 см</p> </li> <li> <p>Объем 2 л</p> </li> </ul>";"data/yavshoke/110152375_w640_h640_cid435614_pid29677585-078207e5.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля 2,8л Wellberg WB 30915";"WB 30915";"WB 30915- yavshoke";231;"<ul>
<li>Объем : 2,8 л, </li> <li>Материал : жаропрочная керамика, </li> <li>5 деколей</li> </ul>";"data/yavshoke/111401185_w640_h640_wb_30915.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля жаропрочная керамика 4,2л Kaiserhoff КН 23020012 ";"KH 23020012";"KH 23020012- yavshoke";862;;"data/yavshoke/452741623_w640_h640_cid435614_pid80900716-df6e0bb8.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля со стеклянной крышкой 1л Японская вишня Стеклокерамическим SNT 30050";30050;"30050- yavshoke";104;"Посуда из стеклокерамики всегда ценилась за прочность, легкость и приятный внешний вид. Современные рестораны остались верны традициям сервировки стола стеклокерамической посудой. Наряду с дорогим фарфором и стеклом, стеклокерамика также востребована. К тому же цены на изделия демократичные, а если покупать стеклокерамику оптом, то выгода от приобретения очевидна.<br><br>В ящике: 6<br>В упаковке: 1<br>Дизайнов: 1<br>Вес: 0.917<br>Объем: 0.003333<br>Штрихкод: 4823082501038<br><br>
";"data/yavshoke/376290850_w640_h640_cid435614_pid259347849-a85af203.png";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля со стеклянной крышкой 1,5л Японская вишня Стеклокерамическим SNT 30051";30051;"30051- yavshoke";138;"Посуда из стеклокерамики всегда ценилась за прочность, легкость и приятный внешний вид. Современные рестораны остались верны традициям сервировки стола стеклокерамической посудой. Наряду с дорогим фарфором и стеклом, стеклокерамика также востребована. К тому же цены на изделия демократичные, а если покупать стеклокерамику оптом, то выгода от приобретения очевидна.<br><br>В ящике: 6<br>В упаковке: 1<br>Дизайнов: 1<br>Вес: 1.375<br>Объем: 0.004667<br>Штрихкод: 4823082501045<br><br>
";"data/yavshoke/376290896_w640_h640_cid435614_pid259347850-dcb91cea.png";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля со стеклянной крышкой 2,5л Японская вишня Стеклокерамическим SNT 30052";30052;"30052- yavshoke";201;"Посуда из стеклокерамики всегда ценилась за прочность, легкость и приятный внешний вид. Современные рестораны остались верны традициям сервировки стола стеклокерамической посудой. Наряду с дорогим фарфором и стеклом, стеклокерамика также востребована. К тому же цены на изделия демократичные, а если покупать стеклокерамику оптом, то выгода от приобретения очевидна.<br><br>В ящике: 6<br>В упаковке: 1<br>Дизайнов: 1<br>Вес: 1.917<br>Объем: 0.0075<br>Штрихкод: 4823082501052<br><br>
";"data/yavshoke/376290878_w640_h640_cid435614_pid259347851-91e5f65e.png";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Горшок для запекания 450мл Бамбук SNT 81-450-018";"81-450-018";"81-450-018- yavshoke";15;"Современная гончарная и лепная керамика отличается большим разнообразием ― это абстрактные и изобразительные, отстраненно-бессюжетные и философско-содержательные произведения, в которых художники воплощают свое понимание мира в его временных и пространственных измерениях. Произведения построены на традиционных, но значительно трансформируемых формах посудин ― мисок, кувшинов, горшков, а также фигурной посуде ― несут эстетическую функцию в интерьере и пространственно-организационную ― в ландшафтной среде. Нередко профессиональная керамика переходит в ранг декоративной скульптуры.<br><br>В ящике: 6<br>В упаковке: 6<br>Дизайнов: 1<br>Вес: 0.44<br>Объем: 0.001458<br>Штрихкод: 4828118145187<br><br>
";"data/yavshoke/376270977_w640_h640_cid435614_pid259348633-98c5b5f4.png";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля 3,5л Color 7136-7146s Simax";"s7136-7146";"s7136-7146- yavshoke";229;"
<p>Кастрюля 3 л Simax с крышкой 1,4 л – это две отличные формы в одной. Плотно прилегающая крышка без отверстий выполняет функцию скороварки, быстро и эффективно пропекая продукты. В то же время она отлично может использоваться как самостоятельная форма емкостью 1,4 литра. Овальные прозрачные линии – это стильное решение для вашей кухни.</p> <p>Стекло нового поколения выдерживает нагревания до 300 градусов по Цельсию и перепады температур. Вы с легкостью сможете наблюдать процесс приготовления пищи, не пропуская нужных моментов.</p> <p>Купить кастрюлю 3 л Simax с крышкой 1,4 л вы можете в нашем магазине!</p> <p>Характеристики:</p> <p>Тип: Кастрюля<br> Форма: Овальная<br> Крышка: Есть</p>
";"data/yavshoke/454792415_w640_h640_cid435614_pid313248820-172b2d6a.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля со стеклянной крышкой 1,5л Розовая орхидея Стеклокерамическим SNT 30051";30051;"30051- yavshoke";138;"Посуда из стеклокерамики всегда ценилась за прочность, легкость и приятный внешний вид. Современные рестораны остались верны традициям сервировки стола стеклокерамической посудой. Наряду с дорогим фарфором и стеклом, стеклокерамика также востребована. К тому же цены на изделия демократичные, а если покупать стеклокерамику оптом, то выгода от приобретения очевидна.<br><br>В ящике: 6<br>В упаковке: 1<br>Дизайнов: 1<br>Вес: 1.375<br>Объем: 0.004667<br>Штрихкод: 4823082501045<br><br>
";"data/yavshoke/376290868_w640_h640_cid435614_pid259348361-844af87a.png";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля со стеклянной крышкой 1л Розовая орхидея Стеклокерамическим SNT 30050";30050;"30050- yavshoke";104;"Посуда из стеклокерамики всегда ценилась за прочность, легкость и приятный внешний вид. Современные рестораны остались верны традициям сервировки стола стеклокерамической посудой. Наряду с дорогим фарфором и стеклом, стеклокерамика также востребована. К тому же цены на изделия демократичные, а если покупать стеклокерамику оптом, то выгода от приобретения очевидна.<br><br>В ящике: 6<br>В упаковке: 1<br>Дизайнов: 1<br>Вес: 0.917<br>Объем: 0.003333<br>Штрихкод: 4823082501038<br><br>
";"data/yavshoke/376292455_w640_h640_cid435614_pid259348359-130cb5ab.png";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
